🛰️电影,#genre#
经典二战,http://live.nctv.top/6688/yy.php?id=1354936238$LR•IPV4
解放：苏联战争巨片,http://live.nctv.top/6688/yy.php?id=1354936249$LR•IPV4
今夜欢乐颂,http://live.nctv.top/6688/yy.php?id=1382735572$LR•IPV4
特种兵归来-国产电影,http://live.nctv.top/6688/yy.php?id=1382735581$LR•IPV4
战火中的故事,http://live.nctv.top/6688/yy.php?id=1382735625$LR•IPV4
热血动作片合集,http://live.nctv.top/6688/yy.php?id=1382735627$LR•IPV4
战争大片,http://live.nctv.top/6688/yy.php?id=1382736798$LR•IPV4
变形金刚,http://live.nctv.top/6688/yy.php?id=1382736803$LR•IPV4
香港动作大片,http://live.nctv.top/6688/yy.php?id=1382736816$LR•IPV4
风靡全球的谍战片,http://live.nctv.top/6688/yy.php?id=1382736817$LR•IPV4
天下第一,http://live.nctv.top/6688/yy.php?id=1382736838$LR•IPV4
钟馗传说,http://live.nctv.top/6688/yy.php?id=1382736839
钟馗传说,http://live.nctv.top/6688/yy.php?id=1382736839$LR•IPV4『线路2』
小米粒Mili,http://live.nctv.top/6688/yy.php?id=1382736842$LR•IPV4
新世界,http://live.nctv.top/6688/yy.php?id=1382736850$LR•IPV4
超级英雄系列电影,http://live.nctv.top/6688/yy.php?id=1382736863$LR•IPV4
国外高分大片,http://live.nctv.top/6688/yy.php?id=1382736867$LR•IPV4
叛逆者,http://live.nctv.top/6688/yy.php?id=1382736868$LR•IPV4
举起手来-惊险抗日,http://live.nctv.top/6688/yy.php?id=1382736877$LR•IPV4
萌鸡小队S1-国漫,http://live.nctv.top/6688/yy.php?id=1382736904$LR•IPV4
高分动作大片-热血出击,http://live.nctv.top/6688/yy.php?id=1382736909$LR•IPV4
红楼梦,http://live.nctv.top/6688/yy.php?id=1382745084
小鬼当家,http://live.nctv.top/6688/yy.php?id=1382745104$LR•IPV4
妖神记,http://live.nctv.top/6688/yy.php?id=1382745171$LR•IPV4
妖神记之黑狱篇,http://live.nctv.top/6688/yy.php?id=1382745173$LR•IPV4
赶海新发现-海洋里有什么,http://live.nctv.top/6688/yy.php?id=1382749912$LR•IPV4
国内动作大片,http://live.nctv.top/6688/yy.php?id=1382749917$LR•IPV4
国内战争大片合集,http://live.nctv.top/6688/yy.php?id=1382749950$LR•IPV4
澳门风云,http://live.nctv.top/6688/yy.php?id=1459243913$LR•IPV4
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129.m3u8
树根龙门阵,http://maomao.kandiantv.cn/douyu1.php?id=1833459
猪肉熟了,http://maomao.kandiantv.cn/douyu1.php?id=296836
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
超喜欢你的小宇,http://maomao.kandiantv.cn/douyu1.php?id=54945
凤起青云,http://maomao.kandiantv.cn/douyu1.php?id=749124
科幻战舰,http://maomao.kandiantv.cn/douyu1.php?id=8772060
尽整没用D,http://maomao.kandiantv.cn/douyu1.php?id=8791622
小馒头叫包几,http://maomao.kandiantv.cn/douyu1.php?id=9028721
英大吉来了,http://maomao.kandiantv.cn/douyu1.php?id=9174097
山下智博official,http://maomao.kandiantv.cn/douyu1.php?id=9186596
蓝星人一ET,http://maomao.kandiantv.cn/douyu1.php?id=9431727
SKYE魏,http://maomao.kandiantv.cn/douyu1.php?id=9460834
预言家Alice,http://maomao.kandiantv.cn/douyu1.php?id=9483772
大河庄一世繁华,http://maomao.kandiantv.cn/douyu1.php?id=9501548
冷孝洪,http://maomao.kandiantv.cn/douyu1.php?id=9527761
咆哮丶土拨鼠,http://maomao.kandiantv.cn/douyu1.php?id=9564230
忆暄Ethan,http://maomao.kandiantv.cn/douyu1.php?id=9570042
王子和史蒂文,http://maomao.kandiantv.cn/douyu1.php?id=9583975
中二大帝妮可姬,http://maomao.kandiantv.cn/douyu1.php?id=9612400
喵招诗雨,http://maomao.kandiantv.cn/douyu1.php?id=9651121
胖段段fre,http://maomao.kandiantv.cn/douyu1.php?id=9662856
OooOlivia奥莉蕉,http://maomao.kandiantv.cn/douyu1.php?id=9678862
萱草丶daylily,http://maomao.kandiantv.cn/douyu1.php?id=9685770
探奇录,http://maomao.kandiantv.cn/douyu1.php?id=9746763
田浅浅w,http://maomao.kandiantv.cn/douyu1.php?id=9747144
海森堡事件录,http://maomao.kandiantv.cn/douyu1.php?id=9754849
天下第一,http://maomao.kandiantv.cn/yy.php?id=1354780649
战火中的故事,http://maomao.kandiantv.cn/yy.php?id=1382735625
吐槽大会五季,http://mitv.ts138.top/yy/1354889009
吐槽大会海天,http://mitv.ts138.top/yy/1354932379
吐槽大会二季,http://mitv.ts138.top/yy/1354936145
吐槽大会京都,http://mitv.ts138.top/yy/1354936210
金星脱口秀播,http://mitv.ts138.top/yy/1382735552
笑傲帮集轮播,http://mitv.ts138.top/yy/1382735555
叠影重重全集,http://mitv.ts138.top/yy/1382735570
敢死队全轮播,http://mitv.ts138.top/yy/1382735573
夺宝奇兵全集,http://mitv.ts138.top/yy/1382736833
如果岁月轮播,http://mitv.ts138.top/yy/1382736883
速度与激情集,http://mitv.ts138.top/yy/1382736911
流金岁月轮播,http://mitv.ts138.top/yy/1382749906
古惑仔国轮播,http://mitv.ts138.top/yy/1458015189
全民热练,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
乌克兰影院,http://serv25.vintera.tv:8081/test/aris/playlist.m3u8
轮播电影1y,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
轮播电影3y,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
轮播电影2y,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
影视大片1,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
轮播电影4y,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=99705a1921ddd49fb7079a02f02bedc4&token=cpn-androidmpro-0-20415-b6774b3b3249db17d8beee6676fdf877fe8b1576307ef8e6&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
全球大片,http://wouu.net:9977/udp/239.93.0.105:5140
峨眉电影,http://wouu.net:9977/udp/239.93.0.252:5140
峨眉电影,http://wouu.net:9977/udp/239.93.1.54:5140
谍战专用频道5,http://zby.xjqxz.top/dzzypd5/live.m3u8
港片1轮播,http://zby.xjqxz.top/hkdy1/live.m3u8
好莱坞大片1,http://zby.xjqxz.top/hlwdy1/live.m3u8
今日说法,http://zby.xjqxz.top/jrsf/live.m3u8
电影1905,http://zby.xjqxz.top/live11/live.m3u8
电影3,http://zby.xjqxz.top/live12/live.m3u8
中外经典喜剧轮播,http://zby.xjqxz.top/live13/live.m3u8
国产院线1,http://zby.xjqxz.top/live18/live.m3u8
电影2,http://zby.xjqxz.top/live7/live.m3u8
李连杰专辑轮播,http://zby.xjqxz.top/lljdy/live.m3u8
梦华录,http://zby.xjqxz.top/mhl/live.m3u8
女士的品格,http://zby.xjqxz.top/nsdpg/live.m3u8
破案警匪,http://zby.xjqxz.top/pajf/live.m3u8
去有风的地方,http://zby.xjqxz.top/qyfddf/live.m3u8
水浒传,http://zby.xjqxz.top/shz/live.m3u8
译制国语,http://zzy789.xyz/douyu1.php?id=2436390
苹果影院,http://zzy789.xyz/douyu1.php?id=2793084
怡寳影院,http://zzy789.xyz/douyu1.php?id=434971
蚂蚱影院,http://zzy789.xyz/douyu1.php?id=6079455
粤语电影,http://zzy789.xyz/douyu1.php?id=6566671
午夜故事,http://zzy789.xyz/douyu1.php?id=8722254
星光影迷频视,https://ali.hlspull.yximgs.com/live/11077536.flv
星光经典频视,https://ali.hlspull.yximgs.com/live/1355046088.flv
龙腾经典台,https://ali.hlspull.yximgs.com/live/lgtv93858.flv
龙腾功夫,https://ali.hlspull.yximgs.com/live/lgtv99838.flv
探索发现,http://zby.xjqxz.top/tsfx/live.m3u8
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
长安十二时辰,http://zby.xjqxz.top/casrsc/live.m3u8
